Genus,Specie_name,main,Clade,Subfam,Family,Annot_level_1,Annot_level_2,Annot_level_3,Annot_level_4
Acanthocalycium,Acanthocalycium_leucanthum,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Acanthocalycium,Acanthocalycium_spiniflorum,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Acanthocalycium,Acanthocalycium_thionanthum,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Acanthocereus,Acanthocereus_castellae,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_chiapensis,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_cuixmalensis,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_fosterianus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_hirschtianus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_macdougallii,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_oaxacensis,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_rosei,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_tepalcatepecanus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acanthocereus,Acanthocereus_tetragonus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Hylocereeae
Acharagma,Acharagma_aguirreanum,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,
Acharagma,Acharagma_roseanum,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,
Airampoa,Airampoa_corrugata,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Airampoa,Airampoa_orurensis,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Anacampseros,Anacampseros_albissima,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_alta,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_arachnoides,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_australiana,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_baeseckei,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_coahuilensis,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_crinita,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_filamentosa,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_gracilis,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_karasmontana,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_kurtzii,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_lanceolata,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_marlothii,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_papyracea,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_quinaria,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_recurvata,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_retusa,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_rufescens,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_subnuda,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_telephiastrum,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Anacampseros,Anacampseros_vulcanensis,Anacampseros,Anacampseros,Outgroup,Anacampserotaceae,,,,Anacampseros
Aporocactus,Aporocactus_flagelliformis,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,
Aporocactus,Aporocactus_martianus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,
Ariocarpus,Ariocarpus_agavoides,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_bravoanus,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_fissuratus,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_kotschoubeyanus,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_retusus,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_scaphirostris,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Ariocarpus,Ariocarpus_trigonus,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Ariocarpus
Armatocereus,Armatocereus_godingianus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Armatocereus
Armatocereus,Armatocereus_laetus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Armatocereus
Armatocereus,Armatocereus_matucanensis,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Armatocereus
Armatocereus,Armatocereus_procerus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Armatocereus
Armatocereus,Armatocereus_rauhii,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Armatocereus
Arrojadoa,Arrojadoa_rhodantha,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Arthrocereus,Arthrocereus_glaziovii,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Arthrocereus,Arthrocereus_rondonianus,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Arthrocereus,Arthrocereus_spinosissimus,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Astrophytum,Astrophytum_asterias,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Astrophytum,Astrophytum_capricorne,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Astrophytum,Astrophytum_caput_medusae,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Astrophytum,Astrophytum_coahuilense,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Astrophytum,Astrophytum_myriostigma,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Astrophytum,Astrophytum_ornatum,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Astrophytum
Austrocactus,Austrocactus_bertinii,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Austrocactus
Austrocactus,Austrocactus_coxii,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Austrocactus
Austrocactus,Austrocactus_philippii,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Austrocactus
Austrocactus,Austrocactus_spiniflorus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Austrocactus
Austrocactus,Austrocactus_subandinus,Core I,Core I,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae I,Austrocactus
Austrocylindropuntia,Austrocylindropuntia_cylindrica,Tephrocacteae,Tephrocacteae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Tephrocacteae
Austrocylindropuntia,Austrocylindropuntia_exaltata,Tephrocacteae,Tephrocacteae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Tephrocacteae
