mrca,column,value,node_type,min,max,reference,used_in_analysis
ACP_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae,crown,27.80801619,53.37456058,Ramirez-Barahona_2020_RC_complete_Portulacaceae_stem_BEAST_HPD95_interval_scheme_S2,FALSE
ACP_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae,crown,41.8234076705405,41.8234076705405,Ramirez-Barahona_2020_RC_complete_Portulacaceae_Stem_BEAST_point_41.82_FIXED_scheme_S1,TRUE
ACP_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae,crown,67.006802,67.006802,Ramirez-Barahona_2020_RC_complete_Portulacaceae_Stem_treePL_point_67.01_FIXED_scheme_S3_method_matched_but_authors_do_not_describe_or_validate_their_treePL_columns,FALSE
ACP_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae,crown,53.223549,53.223549,Zuntini_2024_SupplTab3_Cactaceae_stem_young_tree_53.22_FIXED_scheme_S4_treePL_method_matched,FALSE
ACP_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae,crown,79.972647,79.972647,Zuntini_2024_SupplTab3_Cactaceae_stem_old_tree_79.97_FIXED_scheme_S5_treePL_method_matched,FALSE
ACPT_root,Family,Cactaceae;Anacampserotaceae;Portulacaceae;Talinaceae,crown,33.2801728136668,59.8601871751952,Ramirez-Barahona_2020_RC_complete_Talinaceae_stem_BEAST_HPD95_NODE_ONLY_EXISTS_WITH_TALINACEAE_SAMPLED,FALSE
Cactaceae_Anacampserotaceae_stem,Family,Cactaceae;Anacampserotaceae,crown,21.9507157,48.51200049,Ramirez-Barahona_2020_RC_complete_shared_stem_TOPOLOGY_DEPENDENT_reactivate_only_if_the_new_ML_recovers_Cactaceae_with_Anacampserotaceae,FALSE
Opuntioideae_mrca,Subfam,Opuntioideae,crown,5.93,13.8,Hernandez-Hernandez_2014_Table1_Opuntioideae_crown,TRUE
Cactoideae_mrca,Subfam,Cactoideae,crown,10.94,21.85,Hernandez-Hernandez_2014_Table1_Cactoideae8_crown_after_Blossfeldia_split,TRUE
Cacteae_mrca,Clade,Cacteae,crown,8.33,17.27,Hernandez-Hernandez_2014_Table1_Cacteae_crown,TRUE
Cactaceae_crown,Family,Cactaceae,crown,6.15744200,37.23705035,Ramirez-Barahona_2020_RC_complete_crown_2tips,FALSE
Anacampserotaceae_crown,Family,Anacampserotaceae,crown,7.92202507,39.05972024,Ramirez-Barahona_2020_RC_complete_crown_2tips,FALSE
Portulacaceae_crown,Family,Portulacaceae,crown,5.90301103,31.56229965,Ramirez-Barahona_2020_RC_complete_crown_2tips,FALSE
Cactaceae_crown,Family,Cactaceae,crown,16.67,37.10,Hernandez-Hernandez_2014_Table1_Cactaceae_crown,FALSE
Cactaceae_crown,Family,Cactaceae,crown,26.7,30.5,Arakaki_2011_TableS4_Cactaceae_crown_28.6_pm1SD_secondary_calibration_NOT_a_credibility_interval,FALSE
Pereskia_mrca,Subfam,Pereskioideae,crown,2.05,10.89,Hernandez-Hernandez_2014_Table1_Pereskia_crown_ANDEAN_AND_S_SOUTH_AMERICAN_ONLY,FALSE
Opuntioideae_mrca,Subfam,Opuntioideae,crown,12.2,18.0,Arakaki_2011_TableS4_Opuntioideae_crown_15.1_pm1SD_secondary_calibration_NOT_a_credibility_interval,FALSE
Maihuenioideae_mrca,Subfam,Maihuenioideae,crown,0.26,2.83,Hernandez-Hernandez_2014_Table1_Maihuenia_crown,FALSE
Maihuenioideae_mrca,Subfam,Maihuenioideae,crown,2.4,7.2,Arakaki_2011_TableS4_Maihuenioideae_crown_4.8_pm1SD_secondary_calibration_NOT_a_credibility_interval,FALSE
Cactoideae_mrca,Subfam,Cactoideae,crown,17.7,21.7,Arakaki_2011_TableS4_Cacteae_stem_19.7_pm1SD_EQUALS_Cactoideae_crown_after_Blossfeldia_split_their_Cactoideae_crown_21.8_includes_Blossfeldia_secondary_calibration_NOT_a_credibility_interval,FALSE
