species,species_class,accepted_or_outgroup,retained_markers,pct_markers,atpB_rbcL,ITS,matK,ndhF_rpl32,pepC_like,psbA_trnH,rbcL,rpL16,rpl32_trnL,trnL_trnF,trnS_trnG,species_clean,checklist_pureName,checklist_fullName,checklist_author,checklist_rank,checklist_taxon,checklist_uuid,in_checklist,in_alignment,in_ml_tree,in_chrono_tree,is_outgroup,is_ingroup,has_sequences,in_phylogeny,accepted_in_checklist,status_pipeline,record_status,iucn_found,iucn_category,iucn_category_name,iucn_year,iucn_latest,iucn_criteria,iucn_url,iucn_family,iucn_authority,iucn_common_name,iucn_synonyms,iucn_population_trend,iucn_population_trend_code,iucn_locations,iucn_location_codes,iucn_num_locations,iucn_endemic_locations,iucn_endemic_location_codes,iucn_num_endemic_locations,iucn_is_endemic,iucn_habitat_names,iucn_habitat_codes,iucn_threat_names,iucn_threat_codes,iucn_system_names,iucn_system_codes,iucn_realm_names,iucn_realm_codes,iucn_growth_form_names,iucn_growth_form_codes,iucn_use_trade_names,iucn_use_trade_codes,iucn_doc_range,iucn_doc_habitats,iucn_doc_threats,iucn_doc_rationale,query_status,error_message
Acanthocalycium_glaucum,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocalycium glaucum,Acanthocalycium glaucum,Acanthocalycium glaucum F.Ritter,F.Ritter,Species,Acanthocalycium glaucum F.Ritter sec. Hunt 2016,b3b93950-f22f-4490-b57a-5009318c7c3c,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocalycium_klimpelianum,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocalycium klimpelianum,Acanthocalycium klimpelianum,Acanthocalycium klimpelianum (Weidlich & Werderm.) Backeb.,(Weidlich & Werderm.) Backeb.,Species,Acanthocalycium klimpelianum (Weidlich & Werderm.) Backeb. sec. Hunt 2016,f516812d-18ac-4d80-a1f8-284f0b625808,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocalycium_leucanthum,ingroup,TRUE,3,27.27,-,-,-,-,-,-,-,HM041420.1,-,HM041266.1,JQ779442.1,Acanthocalycium leucanthum,Acanthocalycium leucanthum,Acanthocalycium leucanthum (Gillies ex Salm-Dyck) Schlumpb.,(Gillies ex Salm-Dyck) Schlumpb.,Species,Acanthocalycium leucanthum (Gillies ex Salm-Dyck) Schlumpb. sec. Schlumpberger 2012,18777dfd-26e8-4a8d-97f6-c072840c7e9d,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,sampled_and_dated,sampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocalycium_rhodotrichum,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocalycium rhodotrichum,Acanthocalycium rhodotrichum,Acanthocalycium rhodotrichum (K.Schum.) Schlumpb.,(K.Schum.) Schlumpb.,Species,Acanthocalycium rhodotrichum (K.Schum.) Schlumpb. sec. Schlumpberger 2012,5d538a77-d53d-4826-baf4-c3fde90a7ed2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocalycium_spiniflorum,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocalycium spiniflorum,Acanthocalycium spiniflorum,Acanthocalycium spiniflorum (K.Schum.) Backeb.,(K.Schum.) Backeb.,Species,Acanthocalycium spiniflorum (K.Schum.) Backeb. sec. Hunt 2016,e7756f66-e03d-4514-b1f7-79de2d43b38e,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocalycium_thionanthum,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocalycium thionanthum,Acanthocalycium thionanthum,Acanthocalycium thionanthum (Speg.) Backeb.,(Speg.) Backeb.,Species,Acanthocalycium thionanthum (Speg.) Backeb. sec. Hunt 2016,d730c91e-f54a-42d9-8640-ae443e10d731,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocereus_atropurpureus,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocereus atropurpureus,Acanthocereus atropurpureus,Acanthocereus atropurpureus Gonz.-Zam. & Dan.Sánchez,Gonz.-Zam. & Dan.Sánchez,Species,Acanthocereus atropurpureus Gonz.-Zam. & Dan.Sánchez sec. González-Zamora & al. 2021,78f1e353-6d2d-448a-9998-d951e11073f2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocereus_canoensis,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocereus canoensis,Acanthocereus canoensis,"Acanthocereus canoensis (P.R.House, Gómez-Hin. & H.M.Hern.) S.Arias & N.Korotkova","(P.R.House, Gómez-Hin. & H.M.Hern.) S.Arias & N.Korotkova",Species,"Acanthocereus canoensis (P.R.House, Gómez-Hin. & H.M.Hern.) S.Arias & N.Korotkova sec. Korotkova & al. 2017",bca38a24-383a-441b-bc5a-31a5589d6c45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocereus_castellae,ingroup,TRUE,2,18.18,-,-,-,-,-,-,-,DQ100014.1,-,DQ099945.1,-,Acanthocereus castellae,Acanthocereus castellae,Acanthocereus castellae (Sánchez-Mej.) Lodé,(Sánchez-Mej.) Lodé,Species,Acanthocereus castellae (Sánchez-Mej.) Lodé sec. Korotkova & al. 2017,c2a95e65-1e6c-479e-868b-e6cbd780892e,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,sampled_and_dated,sampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
Acanthocereus_chiapensis,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acanthocereus chiapensis,Acanthocereus chiapensis,Acanthocereus chiapensis Bravo,Bravo,Species,Acanthocereus chiapensis Bravo sec. Korotkova & al. 2017,a922d0c5-9a3b-4c2c-9408-cd19d91bcfb7,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,unsampled_checklist_gap,unsampled_ingroup,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,error,No results returned for query. (HTTP 404)
