marker,n_taxa,alignment_length,missing_pct,gaps_pct,gc_pct,variable_sites,parsimony_informative,invariant_sites
atpB_rbcL,93,797,0,4.008,28.919,80,39,717
ITS,292,957,0.026,39.509,65.938,408,255,549
matK,419,2462,0.003,59.154,32.906,655,394,1807
ndhF_rpl32,82,1278,0,3.824,19.545,120,59,1158
pepC_like,138,519,0.096,9.117,39.093,265,155,254
psbA_trnH,371,439,0.017,29.037,29.395,261,181,178
rbcL,271,1534,0.002,46.92,43.925,277,164,1257
rpL16,677,1430,0.011,42.711,32.631,733,514,697
rpl32_trnL,104,1134,0.13,5.79,25.662,396,239,738
trnL_trnF,651,1178,0.027,36.625,35.082,611,422,567
trnS_trnG,150,1078,0.006,14.279,36.676,400,269,678
